"Institution","Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","City","State","Zip","url","Type","Retention"
"Montreat College",0.588,0.637,0.651,"Montreat","NC","28757-1267","www.montreat.edu","FullTime",0.6159
"University of Mount Olive",0.634,0.694,0.725,"Mount Olive","NC","28365-0919","https://www.umo.edu","FullTime",0.68
"North Carolina A & T State University",0.488,0.574,0.632,"Greensboro","NC","27411","www.ncat.edu","FullTime",0.7859
"University of North Carolina at Asheville",0.513,0.586,0.644,"Asheville","NC","28804-8510","https://www.unca.edu","FullTime",0.7466
"University of North Carolina at Chapel Hill",0.747,0.813,0.842,"Chapel Hill","NC","27599","www.unc.edu","FullTime",0.9647
"University of North Carolina at Charlotte",0.67,0.749,0.773,"Charlotte","NC","28223-0001","https://www.uncc.edu","FullTime",0.8328
"University of North Carolina at Greensboro",0.6,0.655,0.702,"Greensboro","NC","27402-6170","www.uncg.edu","FullTime",0.7752
"North Carolina Central University",0.467,0.517,0.595,"Durham","NC","27707","www.nccu.edu","FullTime",0.773
"North Carolina State University at Raleigh",0.751,0.795,0.822,"Raleigh","NC","27695-7001","www.ncsu.edu","FullTime",0.9367
"University of North Carolina Wilmington",0.657,0.706,0.749,"Wilmington","NC","28403-5963","www.uncw.edu","FullTime",0.8669
"University of North Carolina at Pembroke",0.487,0.56,0.647,"Pembroke","NC","28372-1510","www.uncp.edu","FullTime",0.6873
"Pfeiffer University",0.635,0.692,0.713,"Misenheimer","NC","28109-0960","www.pfeiffer.edu","FullTime",0.6124
"Shaw University",0.375,0.458,0.527,"Raleigh","NC","27601","www.shawu.edu","FullTime",0.4313
"Southeastern Baptist Theological Seminary",NA,NA,NA,"Wake Forest","NC","27587-1889","www.sebts.edu","FullTime",0.8125
"Wake Forest University",0.8,0.844,0.882,"Winston-Salem","NC","27106","www.wfu.edu","FullTime",0.9433
"Winston-Salem State University",0.495,0.561,0.616,"Winston-Salem","NC","27110-0001","www.wssu.edu","FullTime",0.7564
"Western Carolina University",0.586,0.675,0.713,"Cullowhee","NC","28723-9646","www.wcu.edu","FullTime",0.7896
"Dickinson State University",0.688,0.742,0.696,"Dickinson","ND","58601-4896","www.dickinsonstate.edu","FullTime",0.6354
"University of Mary",0.795,0.809,0.812,"Bismarck","ND","58504","https://www.umary.edu/","FullTime",0.7537
"Mayville State University",0.657,0.672,0.731,"Mayville","ND","58257-1299","www.mayvillestate.edu","FullTime",0.5564
"Minot State University",0.664,0.708,0.724,"Minot","ND","58707","www.minotstateu.edu","FullTime",0.6923
"University of North Dakota",0.768,0.814,0.823,"Grand Forks","ND","58202-8193","https://und.edu","FullTime",0.8077
"North Dakota State University-Main Campus",0.771,0.816,0.825,"Fargo","ND","58108-6050","https://www.ndsu.edu","FullTime",0.7913
"Trinity Bible College and Graduate School",0.446,0.55,0.475,"Ellendale","ND","58436-7105","trinitybiblecollege.edu/","FullTime",0.5106
"Valley City State University",0.714,0.754,0.721,"Valley City","ND","58072","www.vcsu.edu","FullTime",0.7152
"University of Akron Main Campus",0.563,0.633,0.647,"Akron","OH","44325-4702","www.uakron.edu","FullTime",0.7275
"Ashland University",0.674,0.73,0.761,"Ashland","OH","44805","https://www.ashland.edu","FullTime",0.7707
"Baldwin Wallace University",0.673,0.731,0.805,"Berea","OH","44017-2088","https://www.bw.edu","FullTime",0.7844
"Bowling Green State University-Main Campus",0.578,0.682,0.744,"Bowling Green","OH","43403","www.bgsu.edu","FullTime",0.7697
"Central State University",0.327,0.385,0.449,"Wilberforce","OH","45384-1004","www.centralstate.edu","FullTime",0.4667
"Cincinnati Christian University",0.521,0.549,0.607,"Cincinnati","OH","45204-3200","www.CCUniversity.edu","FullTime",0.5076
"University of Cincinnati-Main Campus",0.645,0.696,0.725,"Cincinnati","OH","45221-0063","www.uc.edu","FullTime",0.8607
"Ohio Christian University",0.532,0.525,0.583,"Circleville","OH","43113-9487","www.ohiochristian.edu","FullTime",0.6545
"Cleveland State University",0.619,0.676,0.711,"Cleveland","OH","44115-2214","www.csuohio.edu/","FullTime",0.6982
"University of Dayton",0.788,0.864,0.853,"Dayton","OH","45469","https://www.udayton.edu","FullTime",0.904
"Defiance College",0.587,0.707,0.772,"Defiance","OH","43512","www.defiance.edu","FullTime",0.6029
"Franklin University",0.687,0.743,0.785,"Columbus","OH","43215-5399","www.franklin.edu","FullTime",0.2
"Gods Bible School and College",0.325,0.329,0.37,"Cincinnati","OH","45202-6838","www.gbs.edu","FullTime",0.96
"Kent State University at Ashtabula",0.567,0.642,0.675,"Ashtabula","OH","44004","www.kent.edu/ashtabula","FullTime",0.4444
"Kent State University at East Liverpool",0.567,0.642,0.675,"East Liverpool","OH","43920","www.kent.edu/columbiana","FullTime",0.6829
"Kent State University at Stark",0.567,0.642,0.675,"Canton","OH","44720-7599","www.kent.edu/stark","FullTime",0.6623
"Kent State University at Trumbull",0.567,0.642,0.675,"Warren","OH","44483","www.kent.edu/trumbull","FullTime",0.625
"Kent State University at Tuscarawas",0.567,0.642,0.675,"New Philadelphia","OH","44663-9403","www.kent.edu/tusc","FullTime",0.6301
"Kent State University at Salem",0.567,0.642,0.675,"Salem","OH","44460","www.kent.edu/columbiana","FullTime",0.5478
"Kent State University at Kent",0.567,0.642,0.675,"Kent","OH","44242-0001","www.kent.edu","FullTime",0.8019
"Kent State University at Geauga",0.567,0.642,0.675,"Burton","OH","44021","www.kent.edu/geauga","FullTime",0.5992
"Kettering College",0.766,0.824,0.821,"Kettering","OH","45429-1299","kc.edu","FullTime",0.7174
"Lourdes University",0.616,0.63,0.674,"Sylvania","OH","43560-2898","www.lourdes.edu","FullTime",0.6683
"Malone University",0.648,0.717,0.719,"Canton","OH","44709-3308","https://www.malone.edu","FullTime",0.6958
"Mercy College of Ohio",0.784,0.798,0.764,"Toledo","OH","43604-1132","www.mercycollege.edu","FullTime",0.8889
"Miami University-Hamilton",0.676,0.752,0.766,"Hamilton","OH","45011","miamioh.edu/regionals/","FullTime",0.6362
"Miami University-Middletown",0.676,0.752,0.766,"Middletown","OH","45042","miamioh.edu/regionals/","FullTime",0.6855
"Miami University-Oxford",0.676,0.752,0.766,"Oxford","OH","45056","miamioh.edu","FullTime",0.9086
"Mount Carmel College of Nursing",0.879,0.871,0.863,"Columbus","OH","43222-1504","www.mccn.edu","FullTime",0.6667
"Mount Vernon Nazarene University",0.642,0.71,0.73,"Mount Vernon","OH","43050-9500","www.mvnu.edu","FullTime",0.7939
"Mount Saint Joseph University",0.669,0.72,0.734,"Cincinnati","OH","45233-1670","www.msj.edu","FullTime",0.7149
"Notre Dame College",0.652,0.657,0.753,"Cleveland","OH","44121-4293","www.notredamecollege.edu","FullTime",0.6737
"University of Northwestern Ohio",0.644,0.71,0.725,"Lima","OH","45805","www.unoh.edu","FullTime",0.6866
"Ohio Dominican University",0.683,0.729,0.738,"Columbus","OH","43219","www.ohiodominican.edu","FullTime",0.6211
"Ohio State University-Lima Campus",0.687,0.744,0.785,"Lima","OH","45804","lima.osu.edu/","FullTime",0.6466
"Ohio State University-Mansfield Campus",0.687,0.744,0.785,"Mansfield","OH","44906","mansfield.osu.edu/","FullTime",0.6825
"Ohio State University-Marion Campus",0.687,0.744,0.785,"Marion","OH","43302-5695","osumarion.osu.edu/","FullTime",0.6992
"Ohio State University-Newark Campus",0.687,0.744,0.785,"Newark","OH","43055","newark.osu.edu/","FullTime",0.6783
"Ohio State University-Main Campus",0.687,0.744,0.785,"Columbus","OH","43210","www.osu.edu/","FullTime",0.9422
"Ohio University-Eastern Campus",0.596,0.675,0.707,"Saint Clairsville","OH","43950","www.eastern.ohiou.edu","FullTime",0.5659
"Ohio University-Chillicothe Campus",0.596,0.675,0.707,"Chillicothe","OH","45601-0629","www.ohio.edu/chillicothe/","FullTime",0.5714
"Ohio University-Southern Campus",0.596,0.675,0.707,"Ironton","OH","45638","www.southern.ohiou.edu/","FullTime",0.5721
"Ohio University-Lancaster Campus",0.596,0.675,0.707,"Lancaster","OH","43130-1037","www.lancaster.ohiou.edu","FullTime",0.5608
"Ohio University-Main Campus",0.596,0.675,0.707,"Athens","OH","45701-2979","www.ohio.edu","FullTime",0.8002
"Ohio University-Zanesville Campus",0.596,0.675,0.707,"Zanesville","OH","43701","www.zanesville.ohiou.edu/","FullTime",0.588
"University of Rio Grande",0.489,0.593,0.599,"Rio Grande","OH","45674","www.rio.edu","FullTime",0.4844
"Shawnee State University",0.459,0.541,0.606,"Portsmouth","OH","45662","www.shawnee.edu/","FullTime",0.6833
"Franciscan University of Steubenville",0.592,0.682,0.661,"Steubenville","OH","43952-1763","www.franciscan.edu","FullTime",0.872
"Tiffin University",0.587,0.694,0.778,"Tiffin","OH","44883","www.tiffin.edu","FullTime",0.6448
"University of Toledo",0.609,0.691,0.737,"Toledo","OH","43606-3390","www.utoledo.edu/","FullTime",0.7449
"Union Institute & University",0.712,0.695,0.689,"Cincinnati","OH","45206-1925","https://www.myunion.edu","FullTime",0.75
"Urbana University",0.556,0.663,0.699,"Urbana","OH","43078-2091","www.urbana.edu","FullTime",0.5823
"The North Coast College",0.411,0.575,0.5,"Lakewood","OH","44107","www.thencc.edu","FullTime",0.4762
"Wilberforce University",0.416,0.492,0.611,"Wilberforce","OH","45384-1001","www.wilberforce.edu","FullTime",0.3821
"Wright State University-Main Campus",0.586,0.665,0.709,"Dayton","OH","45435-0001","www.wright.edu","FullTime",0.6495
"Wright State University-Lake Campus",0.586,0.665,0.709,"Celina","OH","45822-2952","https://lake.wright.edu","FullTime",0.7541
"Xavier University",0.753,0.824,0.829,"Cincinnati","OH","45207-1092","https://www.xavier.edu","FullTime",0.8449
"Youngstown State University",0.511,0.596,0.641,"Youngstown","OH","44555-0001","https://ysu.edu/","FullTime",0.7715
"Bacone College",0.481,0.571,0.615,"Muskogee","OK","74403-1597","www.bacone.edu","FullTime",0.4333
"Oklahoma Wesleyan University",0.743,0.73,0.775,"Bartlesville","OK","74006-6299","www.okwu.edu","FullTime",0.5339
"Cameron University",0.477,0.578,0.615,"Lawton","OK","73505-6377","www.cameron.edu","FullTime",0.6522
"University of Central Oklahoma",0.645,0.683,0.707,"Edmond","OK","73034","https://www.uco.edu","FullTime",0.6388
"East Central University",0.563,0.642,0.676,"Ada","OK","74820-6999","https://www.ecok.edu","FullTime",0.4642
"Langston University",0.367,0.441,0.494,"Langston","OK","73050","www.langston.edu","FullTime",0.5492
"Northeastern State University",0.591,0.643,0.676,"Tahlequah","OK","74464-2399","https://www.nsuok.edu","FullTime",0.628
"Northwestern Oklahoma State University",0.605,0.647,0.674,"Alva","OK","73717-2799","www.nwosu.edu","FullTime",0.5448
"Oklahoma Christian University",0.59,0.617,0.684,"Edmond","OK","73013","www.oc.edu","FullTime",0.7843
"Oklahoma Panhandle State University",0.579,0.62,0.677,"Goodwell","OK","73939-0430","www.opsu.edu","FullTime",0.4028
"Oklahoma State University-Main Campus",0.715,0.767,0.781,"Stillwater","OK","74078-1015","www.okstate.edu/","FullTime",0.8089
"Oklahoma Baptist University",0.605,0.633,0.702,"Shawnee","OK","74804","https://www.okbu.edu","FullTime",0.7239
"University of Oklahoma-Norman Campus",0.732,0.782,0.8,"Norman","OK","73019-3072","www.ou.edu","FullTime",0.9211
"Oral Roberts University",0.549,0.618,0.67,"Tulsa","OK","74171","oru.edu","FullTime",0.8122
"Rogers State University",0.541,0.607,0.613,"Claremore","OK","74017-3252","https://www.rsu.edu/","FullTime",0.6217
"University of Science and Arts of Oklahoma",0.484,0.573,0.578,"Chickasha","OK","73018-5322","www.usao.edu","FullTime",0.7174
"Southeastern Oklahoma State University",0.587,0.626,0.657,"Durant","OK","74701-3347","www.se.edu","FullTime",0.6367
"Southwestern Christian University",0.424,0.533,0.525,"Bethany","OK","73008","www.swcu.edu","FullTime",0.4403
"Southwestern Oklahoma State University",0.622,0.657,0.686,"Weatherford","OK","73096-3001","https://www.swosu.edu","FullTime",0.6564
"University of Tulsa",0.681,0.74,0.768,"Tulsa","OK","74104-3189","https://utulsa.edu","FullTime",0.878
"The Art Institute of Portland",0.467,0.56,0.584,"Portland","OR","97209-2911","www.artinstitutes.edu/portland/","FullTime",0.3208
"Concordia University-Portland",0.685,0.721,0.745,"Portland","OR","97211-6099","www.cu-portland.edu","FullTime",0.7193
"Eastern Oregon University",0.607,0.64,0.697,"La Grande","OR","97850","www.eou.edu","FullTime",0.68
"George Fox University",0.644,0.702,0.751,"Newberg","OR","97132","www.georgefox.edu","FullTime",0.8336
"Multnomah University",0.559,0.565,0.585,"Portland","OR","97220","https://www.multnomah.edu","FullTime",0.5714
"Oregon Institute of Technology",0.787,0.816,0.795,"Klamath Falls","OR","97601-8801","www.oit.edu","FullTime",0.7948
"Oregon College of Art and Craft",0.21,0.367,0.45,"Portland","OR","97225","www.ocac.edu","FullTime",0.5
"Oregon State University",0.689,0.75,0.782,"Corvallis","OR","97331","https://oregonstate.edu","FullTime",0.8489
"University of Oregon",0.641,0.714,0.747,"Eugene","OR","97403","www.uoregon.edu","FullTime",0.8619
"Pacific Northwest College of Art",0.297,0.441,0.491,"Portland","OR","97209-3404","pnca.edu","FullTime",0.6835
"Portland State University",0.621,0.694,0.729,"Portland","OR","97201","www.pdx.edu","FullTime",0.7161
"Southern Oregon University",0.532,0.597,0.67,"Ashland","OR","97520","www.sou.edu","FullTime",0.7209
"Warner Pacific University",0.694,0.67,0.723,"Portland","OR","97215","www.warnerpacific.edu/","FullTime",0.6222
"Western Oregon University",0.582,0.638,0.699,"Monmouth","OR","97361-1394","www.wou.edu","FullTime",0.7221
"Allegheny College",0.674,0.759,0.818,"Meadville","PA","16335-3902","https://allegheny.edu","FullTime",0.8149
"The Art Institute of Philadelphia",0.401,0.495,0.548,"Philadelphia","PA","19103-5198","www.artinstitutes.edu/philadelphia/","FullTime",0.2353
"The Art Institute of Pittsburgh",0.444,0.532,0.586,"Pittsburgh","PA","15222","www.artinstitutes.edu/pittsburgh","FullTime",0.5306
"Clarks Summit University",0.419,0.467,0.585,"South Abington Township","PA","18411-1250","https://www.clarkssummitu.edu/","FullTime",0.6375
"Arcadia University",0.63,0.74,0.755,"Glenside","PA","19038-3295","https://www.arcadia.edu","FullTime",0.7767
"Bloomsburg University of Pennsylvania",0.659,0.736,0.771,"Bloomsburg","PA","17815","www.bloomu.edu","FullTime",0.7351
"Cabrini University",0.66,0.752,0.758,"Radnor","PA","19087-3698","www.cabrini.edu","FullTime",0.6819
"California University of Pennsylvania",0.596,0.677,0.729,"California","PA","15419-1394","www.calu.edu","FullTime",0.7344
"Carlow University",0.651,0.713,0.698,"Pittsburgh","PA","15213-3165","www.carlow.edu","FullTime",0.7778
"Central Penn College",0.583,0.63,0.616,"Summerdale","PA","17093-0309","www.centralpenn.edu","FullTime",0.4697
"Chestnut Hill College",0.629,0.693,0.745,"Philadelphia","PA","19118-2693","www.chc.edu","FullTime",0.7857
"Clarion University of Pennsylvania",0.566,0.622,0.687,"Clarion","PA","16214","www.clarion.edu","FullTime",0.7412
"Drexel University",0.81,0.847,0.86,"Philadelphia","PA","19104","www.drexel.edu","FullTime",0.8941
"Duquesne University",0.799,0.832,0.856,"Pittsburgh","PA","15282","www.duq.edu","FullTime",0.8602
"East Stroudsburg University of Pennsylvania",0.633,0.726,0.767,"East Stroudsburg","PA","18301-2999","www4.esu.edu/","FullTime",0.6982
"Eastern University",0.614,0.693,0.716,"Saint Davids","PA","19087-3696","https://www.eastern.edu/about/student-consumer-information","FullTime",0.7464
"Edinboro University of Pennsylvania",0.446,0.564,0.648,"Edinboro","PA","16444-0001","www.edinboro.edu/","FullTime",0.6602
